CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL,Unnamed: 11
102076,NT79SE 8005,U-12: Firth Of Forth,Submarine (20th Century),379000.0,691000.0,EAST LOTHIAN,NOT APPLICABLE,MARITIME - EAST LOTHIAN,NT 79 91,http://canmore.org.uk/site/102076,
102078,NT48NW 8001,Lca 845: Firth Of Forth,"Landing Craft (20th Century), Obstruction (20th Century)",344836.0,689018.0,EAST LOTHIAN,NOT APPLICABLE,MARITIME - EAST LOTHIAN,NT 44836 89018,http://canmore.org.uk/site/102078,
102081,NT48NE 8001,Chester: Firth Of Forth,"Requisitioned Steam Trawler (20th Century), Steam Trawler (20th Century)",345793.0,686811.0,EAST LOTHIAN,NOT APPLICABLE,MARITIME - EAST LOTHIAN,NT 45793 86811,http://canmore.org.uk/site/102081,
102083,NT48NW 8004,"G4: Gullane Point, Firth Of Forth",Barge (20th Century),342907.0,688240.0,EAST LOTHIAN,NOT APPLICABLE,MARITIME - EAST LOTHIAN,NT 42907 88240,http://canmore.org.uk/site/102083,
102084,NT68SE 8002,"Hiram: Hedderwick Sands, Firth Of Forth","Barquentine (20th Century), Obstruction (20th Century)",365731.0,682401.0,EAST LOTHIAN,NOT APPLICABLE,MARITIME - EAST LOTHIAN,NT 65731 82401,http://canmore.org.uk/site/102084,
102086,NT68NE 8001,"Cyclops: Bass Rock, Firth Of Forth","Bucket Dredger (20th Century), Dredger (20th Century)",366721.0,685114.0,EAST LOTHIAN,NOT APPLICABLE,MARITIME - EAST LOTHIAN,NT 66721 85114,http://canmore.org.uk/site/102086,
102108,NT88SW 8002,Halland: Firth Of Forth,Steamship (20th Century),380440.0,682064.0,EAST LOTHIAN,NOT APPLICABLE,MARITIME - EAST LOTHIAN,NT 80440 82064,http://canmore.org.uk/site/102108,
102110,NT68SW 8001,"Elterwater: The Rodgers, Car Rocks, Seacliff, Firth Of Forth","Obstruction (20th Century), Steamship (20th Century)",361803.0,684475.0,EAST LOTHIAN,NOT APPLICABLE,MARITIME - EAST LOTHIAN,NT 61803 84475,http://canmore.org.uk/site/102110,
102111,NT68NE 8002,U-77 [possibly]: Firth Of Forth,Submarine (20th Century),369250.0,685560.0,EAST LOTHIAN,NOT APPLICABLE,MARITIME - EAST LOTHIAN,NT 6925 8556,http://canmore.org.uk/site/102111,
102112,NT58NW 8003,"Hms Ludlow: Broad Sands, Dirleton, Firth Of Forth",Destroyer (20th Century),352305.0,686085.0,EAST LOTHIAN,NOT APPLICABLE,MARITIME - EAST LOTHIAN,NT 52305 86085,http://canmore.org.uk/site/102112,
